company_number,company_name,company_status,company_type,date_of_creation,date_of_cessation,sic_codes,postcode,has_charges,has_been_liquidated,n_officers_total,n_officers_active,n_filings_total,n_filings_year1
07231214,DR M HARVEY ASSOCIATES LTD,active,ltd,2010-04-22,,['99999'],SM3 8ET,False,False,1,1,32,1
07232701,FLOGAS ENTERPRISE SOLUTIONS (UK) LIMITED,active,ltd,2010-04-22,,['70100'],LE7 1PF,False,False,22,7,84,1
07231814,IAW INSTALLATIONS LIMITED,active,ltd,2010-04-22,,['43999'],SS17 8HU,False,False,1,1,34,1
07229532,AUTOMOTIVE & INDUSTRIAL CONSUMABLES LIMITED,active,ltd,2010-04-20,,['96090'],LS27 0HG,False,False,4,4,47,2
07229595,GONE RACING LTD,active,ltd,2010-04-20,,['93199'],RG17 7TN,False,False,1,1,33,2
07227993,CASTLE VIEW CONSULTING LIMITED,active,ltd,2010-04-20,,['70229'],BD23 1NT,False,False,1,1,36,2
07228993,LEACH-ELECTRICS LIMITED,active,ltd,2010-04-20,,['43210'],AL3 7LR,False,False,2,1,43,2
07453866,FTS FMCG LTD,active,ltd,2010-11-29,,"['46170', '46470']",M8 9UE,False,False,6,1,59,10
07134623,CYNERGI LIMITED,active,ltd,2010-01-25,,['71111'],LN9 5QF,False,False,3,1,43,5
07256544,PSG COMMUNICATIONS LTD,active,ltd,2010-05-18,,['82990'],AL2 1HA,False,False,3,3,33,3
07136562,ITECH PROJECT SOLUTIONS LIMITED,active,ltd,2010-01-26,,['62090'],MK17 8GQ,False,False,1,1,31,2
07257317,P MORRIS CARPENTRY LIMITED,active,ltd,2010-05-18,,['43320'],BN11 1RY,False,False,1,1,33,1
07352322,TERRA LIBERTAS LIMITED,active,ltd,2010-08-20,,['58110'],BN21 1BF,False,False,1,1,34,1
07405953,LANDSTRUCTION LIMITED,active,ltd,2010-10-13,,['43999'],CH5 2LE,False,False,6,2,64,1
07410741,SHOREDITCH STABLES LIMITED,active,ltd,2010-10-18,,['68209'],M15 5QJ,False,False,4,1,53,1
07262634,BARLEYLODGE CONSULTING LIMITED,active,ltd,2010-05-24,,['70229'],S73 0PJ,False,False,3,3,40,1
07254692,PROFESSIONAL POOL TABLE SERVICES LTD,active,ltd,2010-05-14,,['96090'],SK15 2TQ,False,False,2,1,39,2
07279378,MP VENTURE LIMITED,active,ltd,2010-06-09,,['47110'],SO16 7FP,False,False,4,1,48,6
07285506,PHARMADENT HOLDINGS LIMITED,active,ltd,2010-06-15,,['70100'],IG10 4PL,False,False,2,2,47,6
07273072,MERLIN INITIATIVES LIMITED,active,ltd,2010-06-03,,['59200'],B76 1LG,False,False,3,2,41,6
07201534,STRAIGHT SIX LIMITED,active,ltd,2010-03-24,,['59200'],SE21 8EN,False,False,1,1,47,1
