company_number,n_filings_total,n_filings_year1
07372889,21,4
07374909,8,1
07374029,27,1
07374364,17,1
07373472,25,1
07375242,26,1
07374236,66,27
07374288,24,2
07375715,10,1
07373654,12,1
07373931,29,1
07376144,16,1
07373247,24,1
07375169,27,7
07374641,8,1
07374192,28,1
07374656,14,2
07375171,18,4
07375218,10,2
07374074,25,1
07373152,41,2
07374780,11,1
07374804,19,1
07374642,35,5
07374659,21,7
07374775,14,2
07375226,37,5
07376000,19,1
07373147,31,3
07374945,10,1
07375823,36,3
07374533,20,4
07374404,14,1
07375878,15,3
07374838,24,3
07376429,35,2
07376480,16,1
07376493,15,1
07374437,33,3
07376263,13,1
07373215,31,1
07374571,21,1
07374647,19,1
07373961,11,1
07374042,21,1
07372782,47,1
07374779,11,1
07374801,15,2
07375395,18,3
07374410,40,1
07376279,26,5
07373436,23,2
07375656,16,2
07374481,21,1
07374706,16,4
07373951,29,1
07374147,19,6
07376193,21,4
07373227,16,1
07374813,15,1
07374144,18,5
07376269,27,3
07375195,18,1
07376509,14,4
07376131,15,1
07376149,17,9
07373306,20,1
07376275,27,9
07376277,27,1
07376278,20,6
07376124,11,3
07373647,25,1
07375347,21,1
07374206,20,8
07374252,39,10
07374718,33,2
07375673,39,1
07373655,17,1
07373953,14,6
07372795,20,2
07374760,25,1
07375077,33,3
07374463,12,1
07373553,14,2
07375655,22,5
07375745,56,5
07373725,57,5
07373949,13,2
07374842,22,1
07374979,33,1
OC351584,73,6
OC351599,51,2
OC352697,31,1
OC352719,25,3
OC352728,22,1
OC352670,37,1
OC352650,17,5
OC352678,25,1
OC352729,18,1
OC352698,27,3
OC352695,22,3
OC352688,36,12
OC352739,21,1
OC352716,27,3
OC352730,26,1
OC352684,19,3
OC351639,36,1
OC351636,17,1
OC351763,21,3
OC352872,47,8
OC352942,33,1
OC353123,27,5
OC352089,25,5
OC351870,21,3
OC351987,14,1
OC352012,14,1
OC353154,36,2
OC352955,13,2
OC351923,25,3
OC353046,11,1
OC353052,23,2
OC351994,31,1
OC352050,38,1
OC353112,16,2
OC353125,37,7
OC352070,35,3
OC352080,21,2
OC351747,41,8
OC352766,17,3
OC352854,25,1
OC352904,38,1
OC352972,25,6
OC352996,19,4
OC353026,16,1
OC353061,47,2
OC352116,12,1
OC351622,17,1
OC351708,41,2
OC351744,23,4
OC351766,25,3
OC352898,32,1
OC352959,29,2
OC352963,26,9
OC351865,21,2
OC351903,55,17
OC353058,23,4
OC353151,22,2
OC352133,29,2
OC351794,36,5
OC352797,16,5
OC352873,13,1
OC352910,24,1
OC352986,12,1
OC352014,9,1
OC352088,28,7
OC351734,28,1
OC351822,13,1
OC351957,32,1
OC352007,14,1
OC352058,34,8
OC352143,22,1
OC351664,40,2
OC351691,24,1
OC351817,14,1
OC352912,17,1
OC352937,24,5
OC352954,17,1
OC351933,44,2
OC351945,21,3
OC352041,151,0
OC353079,18,2
OC353129,15,1
OC351743,20,3
OC351805,26,2
OC352753,21,1
OC352813,21,1
OC351889,24,1
OC351942,26,3
OC353082,21,1
OC352110,14,1
OC352115,20,2
OC352763,14,1
OC352944,20,5
OC352961,30,2
OC351838,76,3
OC353097,50,6
OC353145,42,1
OC353159,15,2
OC353170,40,2
OC351750,35,5
OC352818,15,1
OC352846,13,1
OC352863,16,3
OC351914,26,2
OC353001,30,3
OC351969,71,1
OC351973,32,1
OC351700,30,1
OC351769,33,1
OC351810,27,1
OC352793,22,1
OC353701,9,1
OC353597,114,25
OC353334,22,6
OC353458,41,1
OC353567,21,2
OC353696,14,1
OC353336,19,1
OC353437,28,2
OC353448,28,3
OC353717,21,1
OC353348,26,7
OC353507,25,2
OC353529,22,3
OC353661,29,1
OC353682,20,2
OC353687,30,1
OC353355,15,1
OC353476,26,2
OC353522,35,5
OC353866,23,7
OC353898,34,1
OC353942,22,4
OC354520,18,2
OC353850,28,4
OC353919,51,3
OC353938,48,5
OC354077,27,2
OC353725,17,3
OC353722,26,4
OC353785,32,2
OC353839,51,3
OC353945,16,1
OC353738,25,1
OC353764,18,2
OC354582,43,12
OC353782,31,5
OC354602,11,3
OC353723,15,3
OC353734,41,7
OC353811,20,1
OC353817,26,2
OC353874,23,5
OC353908,48,11
OC353917,25,3
OC354581,19,9
OC354299,25,2
OC354364,16,1
OC353930,20,3
OC354293,14,3
OC354358,44,4
OC354373,17,1
OC354538,16,1
OC353864,37,3
OC354440,21,5
OC353788,18,4
OC353833,17,1
OC353927,18,5
OC353766,20,1
OC353802,25,2
OC353827,23,3
OC354160,19,3
OC354280,23,5
OC354287,27,1
OC354305,12,1
OC354367,28,2
OC354530,37,1
OC354372,63,16
OC354375,34,3
OC353729,49,1
OC353747,43,5
OC353906,39,4
OC354012,45,2
OC353779,36,2
OC353786,30,2
OC353924,16,1
OC353932,18,3
OC354414,17,3
OC354736,35,1
OC354884,32,1
OC354901,28,1
OC354166,32,1
OC354143,29,5
OC354734,21,1
OC354796,26,8
OC354101,27,1
OC353951,34,3
OC354178,30,1
OC354206,6,2
OC354093,22,1
07405686,5,3
07415041,9,1
07445798,12,4
07153526,40,7
07157420,30,7
07160678,36,3
07164761,22,3
07170195,19,5
07182078,47,17
07189761,65,26
07211508,36,2
07217267,60,16
07254526,29,1
07293032,70,3
07333086,64,23
07335550,20,4
07336015,29,11
07407388,26,10
07415350,9,7
07415359,9,7
07415347,9,7
07415368,9,7
07423833,14,3
07437529,5,1
07454437,4,4
07468160,15,11
07475141,7,4
07132105,12,10
07130452,4,4
07130236,5,3
07131642,17,5
07136454,9,8
07142426,4,1
07146915,4,3
07152122,6,1
07154892,14,11
07152412,35,12
07160675,20,3
07160822,9,1
07160814,9,1
07161706,25,12
07164942,11,8
07165078,13,4
07165057,19,2
07165442,14,2
07177024,12,10
07195621,3,1
07203648,14,12
07207180,3,1
07210183,6,1
07226848,15,1
07236803,17,9
07432961,15,7
07434191,12,7
07443093,3,1
07454442,4,4
07455620,25,16
07466983,3,1
07473712,3,1
07475309,4,4
07254779,3,1
07256478,20,2
07256552,4,1
07257735,23,10
07259145,21,16
07267834,13,3
07284623,10,10
07293081,7,2
07291490,18,5
07302842,17,7
07299396,3,1
07303597,23,20
07303448,4,1
07299651,7,2
07320838,10,8
07321955,6,1
07331888,20,15
07334432,6,5
07353656,4,4
07369066,16,6
07370158,4,2
07381716,16,6
07379739,4,1
07390093,8,3
07153044,5,3
07182103,4,1
07207503,19,9
07219041,10,3
07222547,3,1
07218485,7,2
07246215,6,3
07254443,13,8
SC381907,3,1
07177933,27,5
07445404,92,1
07422554,123,8
07277103,24,1
07277936,26,2
07287597,33,11
07298511,16,1
07317194,35,8
07364340,10,1
07409681,66,12
07420111,29,8
07206577,21,1
07206153,53,1
07214649,20,3
07125906,38,6
07127130,54,13
07128114,19,3
07120791,11,2
07120952,31,16
07123402,3,1
07127626,30,25
07130711,4,1
07130485,6,6
07139045,6,4
07147957,24,6
07153002,9,2
07157563,14,2
07163561,56,52
07162425,9,7
07165047,13,5
07165032,13,4
07171979,8,1
07179174,12,8
07197102,3,1
07208016,3,1
07210173,6,1
07210192,6,1
07219477,7,1
07219182,16,16
07228155,55,25
07231126,3,1
07231333,3,1
07246706,35,19
07242999,14,13
07247807,3,1
07248627,8,6
07248123,18,4
07256625,21,2
07258194,5,2
07267785,13,3
07270068,14,11
07270574,22,20
07274906,49,22
07281422,6,5
07284045,10,10
07283954,4,4
07287000,4,2
07303514,6,1
07310820,9,2
07325243,16,10
07339042,16,4
07340103,4,4
07344750,3,1
07342402,12,1
07358084,13,2
07364605,4,2
07368160,13,9
07374089,6,3
07374967,20,8
07373117,18,10
07379698,4,1
07385223,5,3
07396163,6,2
07395150,20,3
07407655,25,11
07407712,25,21
07414572,8,7
07409718,13,10
07419921,5,2
07425466,10,1
07426969,4,1
07434491,11,8
07437155,19,18
07436711,7,4
07440338,5,1
07458695,5,2
07457587,14,11
07460093,3,1
07473233,8,1
07475594,22,11
07475681,3,1
07477757,14,11
07428692,13,6
07433020,7,6
07439786,6,1
07454435,4,4
07466426,18,9
07475610,24,12
07475346,16,6
07479048,3,1
07243884,5,2
07258083,6,4
07260804,3,1
07287461,6,6
07288390,7,5
07292131,5,3
07297661,7,4
07869057,57,2
NI607349,49,1
07628847,37,1
07757509,30,1
07728424,50,1
07634734,31,1
07624429,37,4
07871912,35,3
07860086,53,6
07843748,31,3
07587317,44,5
07621277,32,2
07539006,32,1
07795851,42,2
07703631,29,2
SC412238,28,1
07839224,59,4
07533593,48,5
SC407447,34,5
07580786,31,1
SC396770,34,2
07749163,43,8
07701119,34,2
07733462,34,1
07782383,40,6
07628156,31,1
07674197,43,1
07610775,34,1
07871594,50,6
07606509,35,4
07870180,35,1
07749763,30,1
07621006,47,4
07632253,40,1
07540939,34,3
07890616,34,1
07620935,41,1
07628820,57,11
SC401104,37,3
07753010,59,2
07701975,57,11
07576282,49,9
07879966,40,4
SC399492,38,3
07763516,50,5
07809514,35,6
07702906,47,1
07718145,44,7
07485701,59,11
