company_number,name,role,nationality
05887695,"CELLERY, Mathieu",director,French
05887695,"RUAULT, Philippe Marie Stanilas",director,French
05887695,"COGNET, Philippe Laurent, Mr.",director,French
05887695,"JOURNO, Sandra",director,French
05887695,SLIB,corporate-director,
03236244,"BORTON, Elizabeth Alice",secretary,British
03236244,"DOMLEO, Christopher Frank",director,British
03236244,"ETCHES, Roy",director,British
03236244,"ETCHES, Norma",secretary,British
03236244,"ETCHES, Roy",secretary,British
03236244,"ETCHES, Sylvia Lois",secretary,British
03236244,ACCESS REGISTRARS LIMITED,corporate-nominee-secretary,
03236244,"DUSZYNSKI, Frank Richard",director,British
03236244,"DUSZYNSKI, Frank Richard",director,British
03236244,"SLATTERY, Michael John",director,British
03236244,ACCESS NOMINEES LIMITED,corporate-nominee-director,
15305819,"PARMAR, Mitesh",director,British
13429320,"AZIZ, Mumtaz",director,British
10822984,"ALLEN, Nicholas John",director,British
10822984,"HUMPHREY, Paul David",director,British
10822984,EERO,corporate-director,
10822984,ODJA,corporate-director,
10822984,"BARIOZ, Jerome Francois Henri",director,French
05449146,"TURNER, Patricia Linda",secretary,British
05449146,"TURNER, Clifton Astley",director,British
05449146,FORM 10 SECRETARIES FD LTD,corporate-nominee-secretary,
05449146,FORM 10 DIRECTORS FD LTD,corporate-nominee-director,
02492320,"HEALEY, Clive Richard",secretary,Other
02492320,"ANDERSON, Peter John",director,British
02492320,"HIXSON, Andrew William",director,British
02492320,"TOLLERVEY, James Frank",secretary,British
02492320,"WALLIS, Peter Ronald",secretary,British
02492320,"ARNOLD, David",director,British
02492320,"VINCE, Brian Frederick William",director,British
02492320,"WALLIS, Peter Ronald",director,British
02492320,"WALSH, Anthony Paul",director,British
02492320,"WELLER, Neil",director,British
08085414,"HEALEY, Clive",secretary,
08085414,"HIXSON, Andrew William",director,British
08085414,"PETER, Anderson",director,British
08085414,"WELLER, Neil",director,British
SC564548,"FORREST, Alan",director,British
11562822,"MALHOTRA, Vikas",director,British
06954030,"LEBRON GONZALEZ, Juan Carlos",director,Spanish
06954030,"VEERAMACHANENI, Sandya",director,Indian
16692404,"ALI, Mohsin",secretary,
16692404,"ALI, Mohsin",director,Pakistani
OC452945,"MILHEIRO, Hugo",llp-designated-member,
OC452945,"RAMALHETE MILHEIRO, Tania",llp-designated-member,
11258464,"MORRIS, Mark",director,British
11258464,"GORDON, Jamie",director,British
16240693,"TURNBULL, Molly",director,British
11073745,"GRAY, Malcolm",director,British
14430229,"RUEHLE, Manfred Erwin",director,German
15415858,"BRIGGS, Emma Jane",director,British
05903674,"GRAF, Lutz",director,German
05903674,SL24 LTD.,corporate-secretary,
05903674,"BURKHARDT, Sebastian",director,German
14110301,"LOCMELIS, Dzintars",director,Latvian
14110301,"GRISLIS, Normunds",director,Latvian
01036999,"PEARCE, Prudence Ann",secretary,British
01036999,"ESPEJO, Raul Alvaro Fernando, Professor",director,British
01036999,"HOWARD, Jane Irene",director,British
01036999,"LAWLOR, Gillian Elizabeth",director,British
01036999,"PEARCE, Prudence Ann",director,British
01036999,"WELCH, Nigel Stuart",director,British
01036999,"BROWN, Gillian Helen",secretary,British
01036999,"DUNSTAN, Roy",secretary,British
01036999,"PEARCE, Prudence Ann",secretary,British
01036999,"APPLEBY, Sally Jane",director,British
01036999,"BAYNHAM, Julia Whalley",director,British
01036999,"BETTS, Joan Margaret",director,British
01036999,"BROWN, Michael Ian",director,British
01036999,"CAMAMILE, Nevile James",director,British
01036999,"DUNSTAN, Roy",director,British
01036999,"EVERITT, Ernest Skelton",director,British
01036999,"EVERITT, Mary Gertrude",director,British
01036999,"FREEDMAN, Elizabeth Ida Maria",director,British
01036999,"GRANTHAM, Beryl Stewart",director,British
01036999,"HOWARD, Christopher Edward Newsom",director,British
01036999,"HOWARD, Eleanor Monica",director,British
01036999,"LAWLOR, Michael Ernest Bennett",director,British
01036999,"LEACH, Joy",director,British
01036999,"LOCK, Winifred",director,British
01036999,"NAIM, Emile",director,British
15211964,"ET-TAYEBY, Reda",secretary,
15211964,"ET-TAYEBY, Reda",director,Moroccan
15210278,"ET-TAYEBY, Reda",secretary,
15210278,"ET-TAYEBY, Reda",director,Moroccan
05410791,"RILEY, David Graham",director,British
05410791,"MUMBY, Stephen Christopher",secretary,British
05410791,YORK PLACE COMPANY SECRETARIES LIMITED,corporate-nominee-secretary,
05410791,"MUMBY, Stephen Christopher",director,British
05410791,YORK PLACE COMPANY NOMINEES LIMITED,corporate-nominee-director,
08321574,"DESSOUKY, Hani Kamel",director,British
07964845,"ATTRILL, Anthony Charles",director,British
07964845,LONDON LAW SECRETARIAL LIMITED,corporate-secretary,
07964845,"COWDRY, John Jeremy Arthur",director,English
14564780,"SANDS, Hannah",director,British
14564776,"SANDS, Isobel",director,British
14564763,"SANDS, Naomi",director,British
16703216,"YUSUF, Khabiir",director,Dutch
05784760,"LIZAK, Alexandra",secretary,British
05784760,"NAIKAUSKAS, Saulius",director,British
15961709,"MELLENGER, Jacinta",secretary,
15961709,"MELLENGER, Jacinta",director,British
FC028150,WILTON SECRETARIAL LIMITED,corporate-secretary,
FC028150,"FINE, Megan Colleen",director,American
FC028150,"LYNE, Chad William",director,American
FC028150,"NAUGHTON, Michael Damien",director,Irish
FC028150,"ADAMS, John",director,American
FC028150,"BIDDISCOMBE, Simon",director,American
FC028150,"BOYNTON, Charles",director,American
FC028150,"CALLANAN, Andrew",director,Irish
FC028150,"COFFEY, Denis",director,Irish
FC028150,"ELIAS, Patricia Anne",director,American
FC028150,"GOLDBERG, Matt",director,American
FC028150,"JOHNSON, Ashley F",director,American
FC028150,"KENNEDY, David",director,American
FC028150,"MCGOWAN, Alan",director,Irish
FC028150,"OPPENHEIMER, David",director,American
FC028150,"PINKERTON, Robert Noel",director,American
FC028150,"SMERKLO, Michael",director,American
FC028150,"WALKER, Richard George",director,American
12991659,"LANIGAN, Peter",secretary,
12991659,"BOLT, Christopher",director,British
12991659,"BOLT, Nicola",director,British
12991659,"KNIGHT, Rebecca",director,British
12991659,"LANIGAN, Peter Paul",director,British
12991659,"VALENTINO, Melanie",director,British
12991659,"CHESTER, Neil",director,British
12466916,"LANIGAN, Peter Paul",director,British
11434229,"SILVA MONTILLA, Julio Ricardo",director,British
11434229,"RAMIREZ OVIEDO, Solanlly",director,Spanish
15829279,"PEZDA, Jerzy Jan",director,Polish
15777284,"DASSI, Bharath Kumar",director,Indian
15336883,"HILL, Rhys",director,British
15336883,"LINDLEY, Alex William Barnett",director,British
15336883,"NELMES, Matthieu",director,British
16972043,"FRANCOISE, Mike",director,Belgian
16972058,"FRANCOISE, Mike",director,Belgian
05469780,"MARRIOTT, Colin Peter",director,British
05469780,"MARRIOTT, Colin Peter",secretary,British
05469780,BRIGHTON SECRETARY LTD,corporate-nominee-secretary,
05469780,"MARRIOTT, Paul Taylor",director,British
05469780,BRIGHTON DIRECTOR LTD,corporate-nominee-director,
12361863,"MARRIOTT, Colin Peter",director,British
07048282,"MARRIOTT, Colin Peter",director,British
15271306,"AZEROUAL, Abdallah",secretary,
15271306,"AZEROUAL, Abdallah",director,Moroccan
11912821,"ALAM, Ahmed",director,British
13082776,"CONSTANTINESCU, Elena",director,Romanian
13082776,"CONSTANTINESCU, Gilbert Richardo",director,Romanian
12401769,"POZZI, Paolo, Mr.",director,Italian
15730049,"HUSSAIN, Farooq",director,Pakistani
12694493,"AHMED, Hameed",secretary,
12694493,"AHMED, Hameed",director,British
12126387,"RODRIGUEZ-INFANTE, Miguel",director,Spanish
08026373,"NIMMO-SMITH, Hugh Robert Frank",director,British
