company_number,name,role,nationality
10891914,"RAZAFIMAHALEO, Solofo Joseph",director,Malagasy
08366888,"KUMAR, Kamlesh",director,British
08366888,"KUMAR, Gitaben",director,Indian
08366888,"KUMAR, Kamlesh",director,Brtish
09444043,"HISCOX, David James",director,British
09444043,"TARAWALLY, Isatu",secretary,
09444043,"TARAWALLY, Banja",director,Sierra Leonean
16791100,"PEARSON, Roy",director,English
16100470,"QASEM, Nasser",secretary,
16100470,"QASEM, Nasser",director,British
16302102,"SURDU, Samuel Albertino",director,Romanian
16302102,"DINU, Ionut",director,Romanian
14564820,"SANDS, Isobel",director,British
15782096,"PLATAGEA, Vladimir",director,Austrian
15729563,"DYER, Mark",director,British
15783010,"ROVERE, Michele",director,Italian
11614872,"DIMITROV, Stanislav Miroslavov",director,Bulgarian
10804137,"CAZACU, Victor",director,Romanian
15083010,"ROBERTSON, William George",director,British
15732801,"WELSH, Gemma Lauren",director,British
16887068,"SIDDIQUE, Rehan Wajid",director,Pakistani
12529331,"CHAHAL, Satwinder",director,British
14549842,"SORRENTINO, Carmela",director,Italian
07810595,"MITCHELL, Valerie Ann",director,British
16366150,"KAPLLANI, Elvira",director,Greek
16366150,"KAPLLANI, Blenti",director,Greek
16895802,"EDWARDS, James Antony",director,English
OC369679,ALPHASTEPS LLC,corporate-llp-designated-member,
OC369679,BETASTEPS LLC,corporate-llp-designated-member,
OC369679,CAMETUS PARTNERS GMBH,corporate-llp-designated-member,
OC369679,VALORINVEST LIMITED COMPANY,corporate-llp-designated-member,
15419197,"BENCHEIKH, Kaouthar",director,Moroccan
15088892,"HAMZA, Ali",director,Pakistani
15089977,"LOACHAMIN ALMEIDA, Julio Cesar",director,Ecuadorean
15070634,"BRATU, Alice",director,Romanian
15070634,"BRATU, Alice",director,Romanian
15598808,"AZAD, Muhammad",director,Pakistani
15055693,"SAIF, Ahmed Abdulhakeem Hael",director,Yemeni
15046564,"CLAASSEN, Thomas Andrew",director,English
15326452,"HANAN, Abdul",secretary,
15326452,"HANAN, Abdul",director,Italian
15048490,"ANDERTON, Elizabeth",director,Latvian
15050491,"ROBERTS, Stuart William James",director,English
15552119,"CRENGANIS, Viorel",director,Romanian
14470023,"VETTIVEL, Satheeswaran",director,British
15022875,"SANTORO, Amanda",director,British
14092229,"BABAR, Zaheer Uddin",director,Pakistani
14970162,"SAFI, Roman",director,British
12655517,"BOUGHNIMI, Walid",director,Italian
12655517,"FLISS, Sondes",director,French
09599350,"WRIGHT, Stephen Leonard",director,British
SC771662,"LANG, Shaun",director,Scottish
14871838,"OZIGI, Temitope",director,British
15219941,"AKHARRAZ, Abderrahime, Dr",director,Moroccan
NI671138,"KANE, Caleb",director,British
NI671138,"GATFIELD, Emilie Agnes",director,British
NI671138,"GATFIELD, Emma Rose",director,Northern Irish
NI671138,"NICHOLL, Adrian",director,British
SC760772,"BLAJ, Andi",director,Albanian
14643466,"OTMANI, Oussama",director,Algerian
14643466,"BELLABAS, Mohamed Seif Eddine",director,Algerian
14747587,"TERPAK, Mykhailo",director,Ukrainian
14733836,"MEAKIN-SMITH, Daniel Ross",director,British
14848136,"JONES, Adam Gareth",director,British
14704375,"VYNDIUK, Vladyslav",director,Ukrainian
11485673,"AGUDOSY, Herbert Chiegozie",secretary,
11485673,"AGUDOSY, Sylvia Nonyelum",director,Dutch
14666013,"DAVIDSON, Khaliefah",director,British
14666013,"CHIM, Khy Yin",director,British
13381125,"KAREEM KHAN, Fazal",director,British
14133613,"SLEVOACA, Laura Corina",director,Romanian
SC757804,"COVACIU, Mariana",director,Romanian
14621373,"PALFREY, Connor Jorge",director,English
02707580,"AINSCOW, James David",secretary,British
02707580,"KAYE, Joyce",secretary,British
02707580,"PAYNE, Rosalind Lois",secretary,British
02707580,BRITANNIA COMPANY FORMATIONS LIMITED,corporate-nominee-secretary,
02707580,"AINSCOW, James David",director,British
02707580,"BARNES, Lucille Claire",director,British
02707580,"COYNE, John Thomas",director,British
02707580,"DESMOND, Janine",director,British
02707580,"DEWHURST, Gary Peter",director,British
02707580,"KAYE, Gary",director,British
02707580,"PAYNE, Rosalind Lois",director,British
02707580,"PHILBIN, Kevin",director,British
02707580,"ROBERTS, David Simon Mark",director,British
02707580,"WATSON, Graham",director,British
02707580,DEANSGATE COMPANY FORMATIONS LIMITED,corporate-nominee-director,
14582741,"BECHEROUL, Merouane",director,Algerian
14596753,"GOLAN, Omry",director,British
14596753,"SHAMURATOVA, Arzayim",director,British
14575717,"HAKKOUMI, Moussa",director,Algerian
SC754450,"PASCA, Denis Constantin",director,Romanian
SC754447,"VARGA, Anika",director,Romanian
11631632,"DESIN, Talal Rafeeq",director,Pakistani
SC753987,"IOANOVICI, Florin",director,Romanian
14538825,"YOUSAF, Shehroz",director,Pakistani
14525894,"FAHMI, Otman",director,Moroccan
14487157,"HOLMES, Damien",director,British
14214048,"WALTERS, Rebel Jo",director,Australian
11183650,"YORDANOV, Yordan Petrov",director,Bulgarian
13003069,"SINGH, Pramjit Kaur",director,British
16874473,"DENT, John Graeme",director,British
09515040,"HARRISON, Richard",director,British
09515040,"HODGES, Michael Kumbirai",director,British
09515040,"HODGES, Nicola",director,British
11959446,"ANDERSON, Torben Sten",director,British
11959446,"ROSS, Brendon Mackay, Mr.",director,Australian
11959446,RST TRUST,corporate-director,
13123110,"GIBSON, Robert Brian",director,British
07426562,"VINA, Iustina Lidia",director,Romanian
07426562,"VINA, Cristinel Constantin",director,Romanian
10344312,"MCBRIDE, James",director,British
10344312,"MCBRIDE, Linda Theresa",director,British
08979384,"MCBRIDE, Linda Theresa",director,British
08979384,"SANGHA, Kuldip",director,British
08979384,"MCBRIDE, James",director,British
08979384,"WARMISHAM, Barry Charles",director,British
15384566,"MIRON, Simona",director,Romanian
13803593,"VANMALI, Raxit",director,British
11907106,"JARVIS, Sarah Ann",director,British
14722005,"BALDE, Amadu",director,Portuguese
14722005,"THORNTON, Nuala Martine",director,British
11476925,"GHAFOOR, Shomaila",director,British
15359083,"CHOUDHURY, Abed Hussain",director,British
15428059,"MANN, Barry",secretary,
15428059,"MANN, Barry",director,British
15685258,"CARTWRIGHT, James",director,British
09778558,"CREWE, Nicholas James",director,British
SC630822,"CANNING, Fiona Margaret",director,British
15036839,"BROWN, Paul James",director,British
11439626,"ODRISCOLL, Patrick Colin",director,Irish
12111954,"JACOBY-LEONARD, Marina",secretary,
12111954,"JACOBY-LEONARD, Marina",director,British
12111954,"LEONARD, Paul",director,British
14511591,"TANTAOUI, Youness",director,Moroccan
14511591,RF SECRETARIES LIMITED,corporate-secretary,
07856509,"HEWSON, Georgie Brown",director,American
07856509,"HEWSON, Glenn Brian",director,American
11086637,"GRIFFITHS, Amy Victoria Lauren",secretary,
11086637,"MEAD, Sarah Anne",secretary,
11086637,"GRIFFITHS, Michael Ronald",director,British
12476115,"BANCROFT, Peter",director,British
05930326,"BEECROFT, Melanie Jayne",secretary,British
05930326,"BEECROFT, Stephen",director,British
05930326,BRIGHTON SECRETARY LTD,corporate-nominee-secretary,
05930326,BRIGHTON DIRECTOR LTD,corporate-nominee-director,
10165832,"ORETTI, Julie",secretary,
10165832,"ORETTI, Robert Gino",director,British
10165832,"ORETTI, Robert Gino",secretary,British
10165832,"KAHAN, Barbara",director,British
09703160,"DO PRADO, Carlos Alberto",director,Brazilian
09703160,"MCKEE, Natalie Louise",director,British
07910882,"MORLEY, Bridget Claire",director,British
14748073,"PARLE, Stephen",director,British
14647823,"CREAN-MUIR, Sara Maria",director,British
16260755,"AMIN, Rukhsar",director,Pakistani
09370848,"CATASCA, Massimiliano",director,Italian
15690105,"CURTIS, Simon",secretary,
15690105,"CURTIS, Simon Raymond",director,British
10950703,"RANKINE, Michael",director,English
09246408,"LOVELL-TAYLOR-HAINES, Stephen",director,British
06651682,"SHOBANDE, Abimbola",secretary,
06651682,"GBEMUDU, Vincent Ndozi",director,British
06651682,"OBOZUWA, Joseph",director,British
06651682,"SHOBANDE, Abimbola",director,British
06651682,"GELLMAN, Barbara Ann",director,British
06651682,"OBIANOZIE, Emeka Gerald Kaduna",director,Nigerian
06651682,"OBOZUWA, Joseph",director,British
05643045,"NAYAGAM, Shashikala",secretary,British
05643045,"NAYAGAM, Jeyakaran",director,British
05643045,"NAYAGAM, Shashikala",director,British
11432702,"MPOFU, Grant Mthobeki",director,Zimbabwean
11432702,"MPOFU, Jestina",director,Zimbabwean
16107214,"GADHAVI, Unnatiben Maulin",director,Indian
16107214,"THORNTON, Nuala Martine",director,British
15544779,"BOROSAK, Ivica",director,Croatian
15544779,"JURISIC, Srecko",director,Croatian
15544779,"BOROSAK, Antonia",director,Croatian
15544779,"BOROSAK, Ivica",director,Croatian
09386705,"DANIELS, Paul William",director,British
08712628,"SHABBIR, Nasir",secretary,
08712628,"ANJUM, Aziz Ul Islam, Dr",director,Pakistani
08712628,"SHABBIR, Nasir",director,British
15167580,"VEREDA, Vjaceslavs",director,Latvian
10159902,"FOSTER, Scott James",director,British
17064006,"ZEBBAR, Mohamed",director,French
16835099,"KOCSISNE HOCHHOFFER, Monika Erzsebet",director,Hungarian
14366552,"DADABHAI, Anisa Ahmed",director,British
14366552,"DASU, Firoz",director,British
14366552,"DASU, Firoz",director,British
10757927,"PARKER, Keith Austin",director,British
10757927,"PARKER, Stephen James",director,British
14066056,"KALRA, Navdeep",secretary,
14066056,"KALRA, Navdeep",director,British
15808469,"IFILL, Sabrina Natalie",director,British
11966713,"BUK, Mariusz Zenon",director,Polish
16987018,"WILLIAMS, Gary Carlton",secretary,
16987018,"WILLIAMS, Gary Carlton",director,British
14433024,"LORD, Julian",director,British
13248856,"CHAN, Cheryl",secretary,
13248856,"CHAN, Adrian",director,"British,Irish"
13248856,"CHAN, Adrian",director,"British,Irish"
13248856,"CHAN, Cheryl",director,British
08253012,"MCCORMACK, Elizabeth Hope",director,British
08253012,"MCCORMACK, Terence, Prof",director,Irish
01702542,"EDWARDS, Margaret Anne",secretary,British
01702542,"EDWARDS, Colin Douglas",director,British
01702542,"EDWARDS, Margaret Anne",director,British
01702542,"EDWARDS, Thomas Noah Freddy",secretary,British
15223630,"LOPEZ SANCHEZ, Carlos",director,Spanish
11314246,"COLLINS, Michael",director,British
09376913,"CROFT, John Arthur Phillip",director,British
SC430756,"STEWART, Kenneth Ronald",director,British
05939231,"SOHAL, Balbinder Singh",director,British
05939231,"HILL, Peter William",secretary,British
12316515,"DARKIN, Emma Louise",secretary,
12316515,"DARKIN, Ian Francis",director,British
13100565,"MOUJAHID, Abdelhaq",director,French
14651677,"BUNTING, Nicola",director,British
14651677,"RAYSON, Chelsie-Jade",director,British
15511010,"REYHANOGULLARI, Umitcan",secretary,
15511010,"REYHANOGULLARI, Umitcan",director,Turkish
16821387,"MALIQUE MARCHI, Mathias Michel",secretary,
16821387,"MALIQUE MARCHI, Mathias Michel",director,French
12402615,"JENNINGS, Sarah",director,British
12183726,"GARNER, Lee Roger",director,British
12183726,"DURRANT, Dean",director,British
12183726,"GARNER, Linda",director,British
12183726,LEMOND INTERNATIONAL LIMITED,corporate-director,
16904089,"ADDO, Nana Bebaako",director,British
13839547,"ELMAGDOUB, Waleed Mohamed Mohamed",director,British
SC745922,"MCGINLAY, Phil",director,British
16829303,"RYAN, Philip Carl James",director,Welsh
SC548431,"TOBIN, Christopher Edward",director,British
09344076,"FERNANDO, Jayantha",director,British
09344076,"KAUR, Hardarshan",director,British
14759023,"EWIN, Rebecca Grace",secretary,
14759023,"CROSSE, Alexander Jess",director,British
12331893,"GUDZUMAN, Nazar",director,British
12331893,"GUDZUMAN, Alexandru",director,British
15819917,"MAY, Alexia",director,British
11862070,"ACHESON, Timothy Vernon",director,British
11862070,"PLANTE-ACHESON, Anicka Monique",director,British
11862070,"BARK, Darren",director,British
11862070,"BARK, Vicki Ann",director,British
11862070,"PRITCHARD, Stuart",director,British
11862070,"SENNITT, Ann Jeanette",director,British
SC670453,"DAVIDSON, Allen Ingram",director,British
NI692002,"MALLON, Andrew James",secretary,
NI692002,"MALLON, Andrew James",director,British
14395079,"MALLON, Andrew James",director,British
11383852,"RUTHIE, Donovan",director,British
11383852,"RUTHIE, Oliver",director,British
07549641,"MCGUIGAN, Neil",director,British
SC838019,"MUTREJA, Chiraag Suresh",director,British
16517059,"HOFFMANN, Andrew Joseph",director,French
16517059,"TEAL, Anna",director,British
16250230,"DU TOIT, Michael",director,South African
15219910,"JACKSON, Michael",director,Welsh
15219910,"JENKINSON, David Edward",director,British
07678799,"DE HARTOG, Nicholas Jan",director,British
15897768,"COOTE, Paul",director,British
15897768,"RAMSEY, Callum Anthony",director,British
OC361133,BLUE SKY ANAESTHETICS LIMITED,corporate-llp-designated-member,
OC361133,J & LR LIMITED,corporate-llp-designated-member,
OC361133,LIONS HILL MEDICAL LIMITED,corporate-llp-designated-member,
OC361133,N & J BEAUCHAMP LIMITED,corporate-llp-designated-member,
OC361133,A MCCORMICK ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,AADHIRA LTD,corporate-llp-member,
OC361133,ANAESTHETIC SOLUTIONS LIMITED,corporate-llp-member,
OC361133,BELMONT ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,BERRINGTON JAY LIMITED,corporate-llp-member,
OC361133,BIRCHWOOD ANAESTHETIC CONSULTANTS LIMITED,corporate-llp-member,
OC361133,BURTON HEALTH AND LIFESTYLE SERVICES LIMITED,corporate-llp-member,
OC361133,CASSEL MEDICAL LIMITED,corporate-llp-member,
OC361133,CF ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,COMENI ANAESTHETIC SERVICES LIMITED,corporate-llp-member,
OC361133,D & N WHITE ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,D TUNNEY LIMITED,corporate-llp-member,
OC361133,DARKSABRE LTD,corporate-llp-member,
OC361133,FORD ANAESTHESIA LTD,corporate-llp-member,
OC361133,GETWINN ANAESTHESIA LTD,corporate-llp-member,
OC361133,GLOBAL CIRCLE LIMITED,corporate-llp-member,
OC361133,GVMT LIMITED,corporate-llp-member,
OC361133,HS ANAESTHETICS LTD,corporate-llp-member,
OC361133,IMOWAT LTD,corporate-llp-member,
OC361133,INWASSOCIATESLTD,corporate-llp-member,
OC361133,JJBAC MEDICAL LIMITED,corporate-llp-member,
OC361133,ORCHARD ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,PARKSTONE ANAESTHETIC SERVICES LIMITED,corporate-llp-member,
OC361133,PENN HILL ANAESTHETISTS LIMITED,corporate-llp-member,
OC361133,REB ANAESTHETICS LTD,corporate-llp-member,
OC361133,SAJ ANAESTHETICS LIMITED,corporate-llp-member,
OC361133,SANDCREST MEDICAL LIMITED,corporate-llp-member,
OC361133,SCHUSTERBRUCE LIMITED,corporate-llp-member,
OC361133,TAYLOR MEDICAL LIMITED,corporate-llp-member,
OC361133,TFG MEDICAL LIMITED,corporate-llp-member,
OC361133,TRAM MEDICAL SERVICES LIMITED,corporate-llp-member,
OC361133,WALKER ANAESTHESIA LTD,corporate-llp-member,
OC361133,YALLINGUP ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,"BERRINGTON, James Stuart, Dr",llp-designated-member,
OC361133,"BROMILOW, James Edward",llp-designated-member,
OC361133,"DICKSON, David Munro, Dr",llp-designated-member,
OC361133,"LOEW, Christopher Jens, Dr",llp-designated-member,
OC361133,"MCCABE, Shane Edward Thomas, Dr",llp-designated-member,
OC361133,LIONS HILL MEDICAL LTD,corporate-llp-designated-member,
OC361133,VAUGHTON ANAESTHESIA LIMITED,corporate-llp-designated-member,
OC361133,VAUGHTON ANAESTHESIA LIMITED,corporate-llp-designated-member,
OC361133,"AHMED, Naeem, Dr",llp-member,
OC361133,"ASHTON, William Bernard, Dr",llp-member,
OC361133,"BERRIDGE, Peter David, Dr",llp-member,
OC361133,"BRIGGS, Stewart William Philip, Dr",llp-member,
OC361133,"BROWNLOW, Howard, Dr.",llp-member,
OC361133,"CLARK, Martin Xavier, Dr",llp-member,
OC361133,"CRAIG, James Robert, Dr",llp-member,
OC361133,"CRANSHAW, Julius, Dr",llp-member,
OC361133,"DALGLEISH, Daniel Jonathan, Dr",llp-member,
OC361133,"DICKSON, David Munro, Dr",llp-member,
OC361133,"DODD, Tamsin, Dr",llp-member,
OC361133,"DORMON, Frances, Dr",llp-member,
OC361133,"FORTESCUE, Caroline Anne Patricia, Dr",llp-member,
OC361133,"GREEN, Richard James, Dr",llp-member,
OC361133,"GREEN, Thomas Edward Wilfrith, Dr",llp-member,
OC361133,"HADEN, Rachel, Dr",llp-member,
OC361133,"HARGREAVES, David Michael, Dr",llp-member,
OC361133,"JACKSON, Simon Adrian, Dr",llp-member,
OC361133,"MCCORMICK, Alison Selma, Dr",llp-member,
OC361133,"MCCORMICK, Robert Neill, Dr.",llp-member,
OC361133,"RESCHREITER, Henrik Peer, Dr",llp-member,
OC361133,"SCOTT, Michelle Louise, Dr",llp-member,
OC361133,"THORPE, Ben, Dr",llp-member,
OC361133,"TITLEY, Guy Jonathan, Dr",llp-member,
OC361133,"VAUGHTON, Andrew Nicholas, Dr",llp-member,
OC361133,"WALKER, James, Dr",llp-member,
OC361133,"WHITE, Nigel Antony",llp-member,
OC361133,"WISE, Helen Jayne, Dr",llp-member,
OC361133,CREMORNE PROFESSIONAL SERVICES LIMITED,corporate-llp-member,
OC361133,D J DALGLEISH LIMITED,corporate-llp-member,
OC361133,DAVID M DICKSON LIMITED,corporate-llp-member,
OC361133,DAVID M DICKSON LTD,corporate-llp-member,
OC361133,DOCMANDU LIMITED,corporate-llp-member,
OC361133,DORSET PAIN CLINIC LTD,corporate-llp-member,
OC361133,GIDDYLAKE ANAESTHESIA LIMITED,corporate-llp-member,
OC361133,H W ANAESTHETICS LIMITED,corporate-llp-member,
OC361133,MS LINES LIMITED,corporate-llp-member,
OC361133,TUNNEY LTD,corporate-llp-member,
OC361133,WARD CLAN CHATTEL LIMITED,corporate-llp-member,
OC361133,WBA MEDICAL LTD,corporate-llp-member,
OC450380,CAESIUM LIMITED,corporate-llp-designated-member,
OC450380,FEBMED LTD,corporate-llp-designated-member,
OC450380,"COKER, Nicholas, Dr",llp-member,
OC450380,ALAFAR LTD,corporate-llp-member,
OC450380,ASELA TREE LIMITED,corporate-llp-member,
OC450380,B KRISHNACHETTY LIMITED,corporate-llp-member,
OC450380,GURU K LIMITED,corporate-llp-member,
OC450380,GURUKRIPA LIMITED,corporate-llp-member,
OC450380,I & I HEALTHCARE LTD,corporate-llp-member,
OC450380,SSSHC LIMITED,corporate-llp-member,
OC450380,WESTCLIFF ANAESTHESIA AND CRITICAL CARE SERVICES LIMITED,corporate-llp-member,
OC450380,"SAVILLE, Mark, Dr",llp-member,
OC450380,ANRAD LTD,corporate-llp-member,
OC450380,CHITRE LIMITED,corporate-llp-member,
04034572,"MOORE MARREIROS, Bethan",secretary,British
04034572,"HARRIS, Yvonne",director,British
04034572,"NEWTON, Rowena Helenn",director,British
04034572,"PARKER, Fiona Mary, Dr",director,British
04034572,"STACEY, Jacqueline.",director,British
04034572,"TAYLOR, Sean Richard",director,British
04034572,"WILDMAN, Amanda Jane",director,British
04034572,"CRAIG, Emma Mary Anne",secretary,British
04034572,BRITANNIA COMPANY FORMATIONS LIMITED,corporate-nominee-secretary,
04034572,"ANDERSON, Daniel",director,British
04034572,"CURTIS, Richard",director,Irish
04034572,"DAVISON, John",director,British
04034572,"DICKINSON, Paul, Doctor",director,British
04034572,"FODEN, Andrew John",director,British
04034572,"FYFFE, Jane",director,British
04034572,"GALLAGHER, Eileen Margaret",director,British
04034572,"GAUR, Shireen",director,Indian
04034572,"GHOSH, Anita, Dr",director,British
04034572,"HILLIARD, Leonie",director,British
04034572,"HYDE, Keith Robin",director,British
04034572,"JENNINGS, Elaine",director,Welsh
04034572,"KAUR, Baljit",director,British
04034572,"LAWRENCE, Angeal",director,British
04034572,"LAWRENCE, Angela",director,British
04034572,"LEWIS, Katy",director,British
04034572,"MATYKIEWICZ, Sonia",director,British
04034572,"MULLEN, Donna Marie, Dr",director,Irish
04034572,"PEARSON OVERTON, Ian",director,British
04034572,"PERRYMAN, John",director,British
04034572,"PRODGERS, Alan",director,British
04034572,"SHAPLAND, Marianna",director,British
04034572,"SMITHERS, Martyn",director,British
04034572,"SOLOMON, Joanne Cara",director,British
04034572,"TRUSTRAM, Myna",director,British
04034572,"WEIR, Amanda",director,British
04034572,"WILLIAMS, Jane",director,British
04034572,DEANSGATE COMPANY FORMATIONS LIMITED,corporate-nominee-director,
04049265,"BODY, Evelyn Rose",secretary,
04049265,"BODY, Evelyn Rose",director,British
04049265,"COLLINS, Alex",director,British
04049265,"BRETT, Poppy",secretary,
04049265,"FORSYTH, Tessa Jane",secretary,
04049265,"SUTTON-SMITH, Deirdre Jane",secretary,British
04049265,"CHAPMAN, Alexander Thomas",director,British
04049265,"COUCILL, Judith Veronica",director,British
04049265,"DAVIS, Sonia Gail",director,British
04049265,"FARROW, Richard James",director,British
04049265,"HOWARD, Deborah Laura",director,British
04049265,"MAXWELL-SCOTT, Gaynor",director,British
04049265,"MONTGOMERY, Charles Darragh, Dr",director,British
04049265,"PERSSON, Victoria Rose",director,British
04049265,"PLANT, Robert Charles, Reverend",director,British
04049265,"SPARHAM, Susan Gordon",director,British
04049265,"SUTTON-SMITH, Deirdre Jane",director,British
04049265,"THOMAS, Alyss Clare",director,British
04049265,"WILDE, Julie",director,British
16247173,"SHIGIVAL, Husian",director,British
16284978,"HARRIS, Jennifer Anne",secretary,
16284978,"BOWER, Amanda Heidi",director,British
16284978,"HARRIS, Jennifer Anne",director,British
13700201,"ANTAL, Lorand Karoly",director,Romanian
16755780,"HARDY, William Robert",director,British
14772014,"LORD, Scott Benjamin",director,British
14772014,"ROSE, Marc Jon",director,British
15241567,"DAWKINS, Freddie Steven",director,English
11184904,"WATSON, Aaron Kieron",director,British
11184904,"ZAZIEMSKI, Adam",director,British
FC035994,"MCSHERRY, William John",secretary,
FC035994,"MCSHERRY, William John",director,American
FC035994,"RANKIN, Lloyd Kenneth",director,Canadian
15151540,"RILEY, Jack Victor George",director,British
15151540,"ROSS, Daniel",director,British
09888288,"O'BRIEN, James Peter",director,British
09888288,"BERNARD, David Peter",director,British
09888288,"COHEN, Lee",director,British
09888288,"WEST, James Jonathan",director,British
15594286,"ALEXANDER, Rhys",director,British
15594286,"DUFFY, Shane",director,Irish
15594286,"ALEXANDER, Rhys",secretary,
15594286,"DUFFY, Shane",secretary,
15594286,"WILLIAMS, Catherine Mary",secretary,
15594286,"WILLIAMS, Catherine Mary",secretary,
13000270,"BAXTER, Mark John Winston",director,British
15301927,"PERDIKAKIS, Spas Konstantinus",director,Bulgarian
15290538,"BEGUM, Shefa",director,British
14551681,"BIDUAYA, Ben Shambuyi",director,French
16248846,"HILL, Stephen Andrew",director,British
16390667,"BARBOSA DA SILVA, Davi",director,Brazilian
14325144,"PEFIKI NGOY, Justin",director,British
17071568,"BEJARANO, Salamon",director,Israeli
11397325,"INGANDU, Antoine",secretary,
11397325,"INGANDU, Antoine",director,French
14349142,"BLEDA, Valerie",director,Ivorian
16377360,"MALINOV, Borislav Angelov",director,Bulgarian
10805119,"ADKINSON, Chris",director,British
10805119,"HARTLEY, Jonathan",director,British
05860850,"EIDE, Arild Bruzell",director,Norwegian
05860850,"EIDE, Arild",secretary,British
05860850,"EIDE, Elisabeth",director,Norwegian
12712332,"BOATENG, Nana Kwaku",director,British
05587535,"BALDOCK, Geoffrey Martin",director,British
05587535,"BEDFORD RUSSELL, Alison Ruth",director,British
05587535,"BRAMLEY, Stuart William",director,British
05587535,"CROHN, Deborah",director,British
05587535,"EDDY, Alison Margaret",director,British
05587535,"HOBSTER, Daniel Richard Lloyd",director,British
05587535,"JONES, Diane",director,British
05587535,"MORRIS, Edward Patrick, Dr",director,British
05587535,"PLUMB, Jane Elizabeth",director,British
05587535,"PLUMB, Robert Garfield",director,British
05587535,"TRENTER, Amy Marie",director,English
05587535,"HARDING, Andrew",secretary,
05587535,"PLUMB, Robert Garfield",secretary,British
05587535,"ABBOTTS, Dawn Sandra",director,British
05587535,"BARLOW, Claire Louise",director,British
05587535,"CLAYTON, Virginia Lucy",director,British
05587535,"COOK, Emily",director,British
05587535,"FORWOOD, Debbie",director,British
05587535,"GREENE, Balissa, Dr",director,British
05587535,"GREGORY, Susan Catherine",director,British
05587535,"GUTTERIDGE, Kathryn Elizabeth Ann, Dr",director,British
05587535,"HOLWELL, David William, Doctor",director,British
05587535,"HOLWELL, Dawn Lorraine",director,British
05587535,"HOWE, Timothy Richard",director,British
05587535,"HUGHES, Anne Katharine",director,British
05587535,"RICHARDS, Alison Jane",director,British
05587535,"SLATER, Deborah Ann",director,British
05587535,"WESTON, Caroline",director,British
05587535,"WILCOX, Chloe Louise",director,British
10389727,"O'SULLIVAN, Sean",director,Irish
17003140,"PLATTS, Aime Louise",director,British
17003140,"PLATTS, Paul Glenn",director,British
09666103,"NG, William",director,British
09666103,"COOPER, Sarah",director,British
09666103,"NG, Katherine",director,British
09666103,"NG, William",director,British
15324275,"TURNER, William",director,British
15324275,"THORNTON, Nuala Martine",director,British
02313035,"ANDERTON, Sharon Jane",director,British
02313035,"DUNNING, Claire Ann",director,British
02313035,"HOLMAN, Anthony Matthew",director,British
02313035,"SHERWOOD, Brian Richard",director,British
02313035,"SMITH, Jayne Louise",director,British
02313035,"DAVIES, Charles Roger",secretary,British
02313035,"FLAHERTY, Jean, Cllr",secretary,British
02313035,"FLAHERTY, Jean, Cllr",secretary,British
02313035,"GATES, Susan Angela Mavis",secretary,British
02313035,"SHERWOOD, Brian Richard",secretary,British
02313035,"ANDERTON, Sharon Jane",director,British
02313035,"CAMPBELL, Graeme",director,British
02313035,"DAVIES, Charles Roger",director,British
02313035,"EMMETT, Graham",director,British
02313035,"EVANS, Phillip",director,British
02313035,"FLAHERTY, Jean, Cllr",director,British
02313035,"GERMAN, Barry Howard",director,British
02313035,"HILTON, Antony Lee",director,British
02313035,"LAUX, David Dirk",director,German
02313035,"LUDLEY, David Richard",director,British
02313035,"MACDONALD, Gary",director,American
02313035,"MADDEN, John",director,British
02313035,"OTT, Joerg",director,German
02313035,"PHILIPPI, Andreas Sascha",director,German
02313035,"SHERWOOD, Brian Richard",director,British
02313035,"SLAVOV, Ivaylo Dimtchev",director,Bulgarian
02313035,"VAN OORDE, Willem Arent",director,Dutch
02313035,"WAHL, Kerstin Margot",director,German
02313035,"WEBSTER, Christopher Andrew",director,British
15015946,"RIPON, Md Nurnoby",director,Bangladeshi
10071136,"BROWN, Christopher Freddie Alan",director,British
10071136,"TIDMAN, Sophie Elizabeth",director,British
10815786,"WEST, James Jonathan",director,British
13497887,"BRAZIER, Alexander Edward Jack",director,British
13497887,"KOLOMIYTSEV, Alexander",director,British
15890670,"ISXAAQ, Mulki",director,Dutch
13452524,"MAHMOOD, Tariq",director,British
15963959,"CATCHPOLE, John David",director,British
15963959,"DIXON, George Mitchell",director,British
16101268,"MOFFORD, Verity",director,British
05585015,"BUTLER, David Godwin Rhu",director,British
05585015,"DERWENT, James Meredith",director,British
05585015,"EYGELAAR, Johannes Petrus",director,British
05585015,"MAN, Hoo Yun",director,British
05585015,"MULLINS, David John",director,British
05585015,"ORCHARD, Frank Eric",director,British
05585015,"BOULT, Julie Bridget",secretary,British
05585015,QA REGISTRARS LIMITED,corporate-nominee-secretary,
05585015,"BEST, Emma, Miss.",director,British
05585015,"BUTLER, David Godwin Rhu",director,British
05585015,"DUDANI, Jacques Robert",director,British
05585015,"EYGELAAR, Johannes Petrus",director,British
05585015,QA NOMINEES LIMITED,corporate-nominee-director,
04681453,"COPAS, Zoe Claire",secretary,
04681453,"BUNSTON, Jonathan George",director,British
04681453,"CHAMPKIN, Jamie Rhodes",director,British
